,Dengue,Dengue_sma7,Acumulado_21,Acumulado,Populacao,Rt,Susceptiveis,Densidade_Dem,Precipitacao_sma7,Temp_med_7sma,Temp_min_7sma,Umidade_7sma,Vento_mps_7sma
3956,5,2.0,31,260889,2641037,1.75,2380148,8454,0.1,28.1,25.2,70.4,3.6
3964,5,4.3,55,260923,2641501,1.76,2380578,8455,0.2,27.9,25.2,68.7,3.2
3965,5,4.4,59,260928,2641501,1.55,2380573,8455,0.2,27.8,25.2,67.8,3.4
3966,5,4.6,63,260933,2641501,1.39,2380568,8455,0.2,27.7,25.0,67.3,3.3
3967,5,4.7,67,260938,2641501,1.27,2380563,8455,0.0,27.7,25.1,67.5,3.1
3968,4,4.7,70,260942,2641965,1.18,2381023,8457,0.0,27.6,24.9,68.0,3.1
3969,3,4.6,72,260945,2641965,1.1,2381020,8457,0.0,27.7,24.8,68.0,3.1
3970,2,4.1,72,260947,2641965,1.0,2381018,8457,0.0,27.7,24.8,67.9,3.0
3971,2,3.7,73,260949,2641965,0.87,2381016,8457,0.0,27.7,24.9,68.0,3.3
3972,2,3.3,74,260951,2641965,0.74,2381014,8457,0.2,27.7,24.7,68.1,3.2
3973,2,2.9,75,260953,2641965,0.63,2381012,8457,0.4,27.6,24.6,69.3,3.1
3974,2,2.4,76,260955,2641965,0.52,2381010,8457,0.9,27.5,24.6,69.6,3.1
3975,3,2.3,77,260958,2642429,0.48,2381471,8458,0.9,27.5,24.6,69.4,3.1
3976,3,2.3,77,260961,2642429,0.5,2381468,8458,0.9,27.5,24.6,69.6,3.0
3977,3,2.4,75,260964,2642429,0.59,2381465,8458,1.0,27.5,24.5,70.0,3.1
3978,3,2.6,74,260967,2642429,0.69,2381462,8458,1.0,27.5,24.5,70.1,2.7
3979,3,2.7,73,260970,2642429,0.83,2381459,8458,0.8,27.5,24.7,71.1,2.7
3980,3,2.9,72,260973,2642429,1.0,2381456,8458,0.6,27.7,24.9,71.0,2.8
3981,3,3.0,71,260976,2642429,1.24,2381453,8458,0.0,27.7,25.0,71.1,2.8
3982,2,2.9,69,260978,2642893,1.25,2381915,8460,0.0,27.8,25.2,71.1,2.9
3983,2,2.7,67,260980,2642893,1.19,2381913,8460,0.0,27.8,25.4,71.3,2.9
3984,2,2.6,64,260982,2642893,1.06,2381911,8460,0.2,27.8,25.3,71.6,2.8
3985,1,2.3,60,260983,2642893,0.89,2381910,8460,0.3,27.8,25.2,71.9,3.0
3986,1,2.0,56,260984,2642893,0.74,2381909,8460,0.3,27.9,25.4,71.5,2.9
3987,1,1.7,52,260985,2642893,0.6,2381908,8460,0.3,27.9,25.4,70.7,3.0
3988,1,1.4,48,260986,2642893,0.48,2381907,8460,0.4,27.8,25.4,70.9,3.0
3989,2,1.4,46,260988,2643357,0.5,2382369,8461,0.5,27.9,25.4,70.8,2.9
3990,2,1.4,45,260990,2643357,0.53,2382367,8461,0.5,28.0,25.4,70.6,3.1
3991,2,1.4,45,260992,2643357,0.56,2382365,8461,0.2,28.1,25.5,70.2,3.1
3992,3,1.7,46,260995,2643357,0.75,2382362,8461,0.2,28.2,25.7,70.1,3.1
3993,2,1.9,46,260997,2643357,0.93,2382360,8461,0.2,28.3,25.7,69.9,3.2
3994,2,2.0,46,260999,2643357,1.17,2382358,8461,0.2,28.3,25.7,70.2,3.1
3995,2,2.1,46,261001,2643357,1.5,2382356,8461,0.0,28.4,25.6,70.1,3.2
3996,3,2.3,46,261004,2643821,1.6,2382817,8463,0.0,28.4,25.6,70.4,3.1
3997,3,2.4,46,261007,2643821,1.7,2382814,8463,0.0,28.4,25.5,70.6,2.9
3998,2,2.4,45,261009,2643821,1.7,2382812,8463,0.0,28.3,25.5,70.6,3.0
3999,2,2.3,44,261011,2643821,1.33,2382810,8463,0.0,28.4,25.5,69.8,2.9
4000,2,2.3,43,261013,2643821,1.23,2382808,8463,0.1,28.3,25.5,69.6,2.8
4001,3,2.4,43,261016,2643821,1.21,2382805,8463,0.1,28.3,25.4,69.6,2.9
4002,3,2.6,43,261019,2643821,1.2,2382802,8463,0.1,28.3,25.6,69.2,2.9
4003,3,2.6,44,261022,2644285,1.13,2383263,8464,0.1,28.4,25.8,69.0,3.0
4004,2,2.4,44,261024,2644285,1.0,2383261,8464,0.1,28.4,25.8,68.9,3.2
4005,2,2.4,44,261026,2644285,1.0,2383259,8464,0.1,28.4,26.0,68.8,3.1
